,MMM,AXP,T,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
20130503,104.77,69.26,34.99,91.47,84.72,118.42,20.05,40.73,52,86.98,21.67,142.99,72.01,23.09,199.2,82.71,45.96,98.82,43.77,32.3,63.52,27.79,75.82,82.9,57.74,90.69,49.91,177.86,76.87,64.01
20130506,104.78,69.09,34.75,91.91,85.32,118.18,20.03,40.57,51.95,87.52,21.68,146.02,73.28,23.04,197.52,81.68,46.55,98,43.11,32.55,62.94,27.56,75.4,82.81,58.99,91.06,49.32,177.22,76.47,64.27
20130507,104.95,69.27,35.15,92.49,87.46,117.98,19.62,41.17,52.69,88.07,21.78,146.88,73.1,23.27,198.35,82.5,47.48,98.22,43.39,32.13,62.9,27.86,75.58,83.5,59.29,91.43,50.14,178.11,76.47,65.26
20130508,105.13,69.34,35.45,92.23,87.96,118.29,19.95,40.94,52.73,88.6,22.09,147.8,73.44,23.37,200.44,82.43,48.08,96.93,43.12,31.82,62.89,27.8,76.07,84.72,61.26,91.93,50.32,177.59,76.36,65.19
20130509,106.8,69.24,34.98,92.79,87.61,118.56,20.05,40.61,53.39,88.56,21.87,146.11,73.87,23.47,198.89,82.13,47.38,95.72,43.6,31.5,62.73,27.67,75.84,83.92,60.77,92.3,49.94,176.91,76.51,65.86
20130510,107.35,69.11,35,92.43,86.32,118.17,20.31,40.64,53.47,87.7,21.99,146.66,74.01,23.61,200.1,82.72,47.31,96.21,44.04,31.53,63.73,27.79,76.38,83.95,61.65,92.77,50.11,177.08,76.98,66.38
20130513,107.37,68.82,34.67,92.94,85.78,117.8,20.48,40.68,52.92,87.66,21.94,147.18,74.65,23.2,198.14,82.81,47.99,96.38,44.25,31.86,63.62,28.42,76.21,83.96,61.14,92.48,49.79,177.26,76.6,66.5
20130514,107.45,70.52,34.88,94.26,85.28,119.86,20.48,41,53.61,88.64,22.09,151.99,75.29,22.97,198.86,83.89,48.53,97.17,44.71,32.57,64.86,28.45,77.06,85.32,60.49,93.44,50.38,178.64,76.88,66.65
20130515,108.34,71.77,35.16,95.16,84.74,118.91,20.42,41.38,53.99,88.77,22.32,153.07,75.83,23.32,198.97,84.54,49.36,97.89,44.79,32.88,64.78,28.6,78.24,85.21,60.37,93.84,50.78,180.39,77.93,66.84
20130516,107.92,71.23,35.02,94.72,84.53,118.66,23,41.55,53.93,88.24,22.34,151.95,74.73,23.07,200.31,84.35,49.25,97.09,44.44,33.1,63.42,28.3,77.77,84.32,60.89,93.22,50.41,178.45,76.6,65.66
20130517,108.23,72.31,35.08,97.02,85.39,119.3,23.34,41.43,54.32,89.27,22.53,155.59,74.84,23.16,203.98,84.97,50.53,97.5,44.08,33.87,64.28,28.02,77.6,83.96,61.58,95.35,50.55,183.18,75.99,65.77
20130520,108.55,73.37,34.87,96.82,86.04,120.62,23.06,40.86,54.36,90.01,22.63,156.3,74.74,23.2,203.16,84.89,50.52,97.5,43.33,34.07,64.29,27.77,76.7,83.04,61.31,95.23,49.97,180.24,75.53,65.31
20130521,108.83,74.07,34.61,96.85,85.81,121.74,23.11,40.82,54.8,90.28,22.72,158.1,76.64,23.27,204.19,85.45,51.23,98.07,45.36,33.85,64.19,27.85,76.41,81.18,61.61,95.55,49.34,180.18,75.52,65.03
20130522,108.26,73.41,34.31,96.05,85.42,120.76,22.47,40.74,54.01,89.69,22.91,156.74,77.59,23.19,202.56,85.33,51.82,97.69,44.77,33.62,63.43,28.35,76.43,81.31,61.03,94.27,48.77,178.78,75.17,64.77
20130523,107.89,73.66,34.42,97.83,84.69,121.22,22.63,40.43,53.8,89.3,22.72,154.84,76.83,23.17,201.75,84.75,51.55,97.01,45.36,33.17,62.32,28.16,76.32,81.05,61.11,93.53,49.16,176.76,74.49,64.43
20130524,107.75,74.23,34.43,98.08,83.97,121.26,22.65,40.73,53.8,89.05,22.59,156.13,76.91,23.05,201.32,84.37,51.85,96.3,45.2,33.29,61.79,28.1,79.4,81.15,60.82,93.09,48.69,179.09,75.44,64.69
20130528,109.04,75.11,33.9,98.19,83.95,122.21,23,41.02,54.32,89.87,22.66,158.57,77.72,23.2,203.34,85.14,52.76,97.21,45.64,34.02,62.28,28.07,78.41,80.78,62.07,94,48.15,178.68,75.45,65.88
20130529,108.59,74.78,33.65,97.19,84.24,121.3,23.22,39.92,54.45,89.58,22.7,160.71,77.4,23.39,203.47,83.24,52.82,95.1,44.92,33.88,61.93,27.36,76.51,81.22,62.08,93.17,46.97,176.8,74.39,65.45
20130530,108.88,75.09,33.26,98.61,84.17,120.94,23.46,39.31,54.72,89.59,22.66,162.17,77.35,23.33,204.88,83.57,53.74,93.93,45.11,34.03,61.62,27.33,76.7,82.08,63.36,93.99,46.5,179.67,73.8,63.86
20130531,107.75,74.66,32.78,97.12,83.57,118.65,23.22,38.56,54.22,88.02,22.39,159.94,76.59,23.4,203.57,81.81,52.75,93.45,44.76,33.9,60.88,26.35,74.44,81.26,61.37,92.95,45.93,176.8,73.03,62.31
